,label,addr,palAddr,width,height,comp
0,キャノン,0x715bcc,0x745a4c,7,6,0
1,ハイキャノン,0x715bcc,0x745a6c,7,6,0
2,メガキャノン,0x715bcc,0x745a8c,7,6,0
3,エアシュート,0x71610c,0x745aac,7,6,0
4,バルカン１,0x71664C,0x745ACC,7,6,0
5,グレイガボタン,0x708374,0x706224,4,4,0
6,リンクナビ（ヒート）,0x708774,0x709df4,9,2,0
7,リンクナビ（エレキ）,0x7089b4,0x709e14,9,2,0
8,リンクナビ（スラッシュ）,0x708bf4,0x709e34,9,2,0
9,リンクナビ（キラー）,0x708e34,0x709e54,9,2,0
10,リンクナビ（チャージ）,0x709074,0x709e74,9,2,0
11,リンクナビ非選択（ヒート）,0x7092b4,0x709e94,9,2,0
12,リンクナビ非選択（エレキ）,0x7094f4,0x709eb4,9,2,0
13,リンクナビ非選択（スラッシュ）,0x709734,0x709ed4,9,2,0
14,リンクナビ非選択（キラー）,0x709974,0x709ef4,9,2,0
15,リンクナビ非選択（チャージ）,0x709bb4,0x709f14,9,2,0
16,ココロウインドウ（通常）,0x74fe8c,0x75178c,4,2,0
17,ココロウインドウ（怒り）,0x75000c,0x7517ac,4,2,0
18,ココロウインドウ（疲労）,0x75018c,0x7517cc,4,2,0
19,ココロウインドウ（フルシンクロ）,0x75030c,0x7517ec,4,2,0
20,ココロウインドウ（極限）,0x75048c,0x75180c,4,2,0
21,ココロウインドウ（ヒートクロス）,0x75060c,0x75182c,4,2,0
22,ココロウインドウ（エレキクロス）,0x75070c,0x75184c,4,2,0
23,ココロウインドウ（スラッシュクロス）,0x75080c,0x75186c,4,2,0
24,ココロウインドウ（キラークロス）,0x75090c,0x75188c,4,2,0
25,ココロウインドウ（チャージクロス）,0x750a0c,0x7518ac,4,2,0
26,ココロウインドウ（疲労ヒートクロス）,0x750b0c,0x7518cc,4,2,0
27,ココロウインドウ（疲労エレキクロス）,0x750c0c,0x7518ec,4,2,0
28,ココロウインドウ（疲労スラッシュクロス）,0x750d0c,0x75190c,4,2,0
29,ココロウインドウ（疲労キラークロス）,0x750e0c,0x75192c,4,2,0
30,ココロウインドウ（疲労チャージクロス）,0x750f0c,0x75194c,4,2,0
31,ココロウインドウ（獣化）,0x75158c,0x751a0c,4,2,0
32,ココロウインドウ（超獣化）,0x75168c,0x751a4c,4,2,0
33,バルカン２,0x71664c,0x745aec,7,6,0
34,バルカン３,0x71664c,0x745b0c,7,6,0
35,スーパーバルカン,0x71664c,0x745b2c,7,6,0
